Sensitivity0,Specificity0,PPV0,NPV0,Accuracy0,Sensitivity1,Specificity1,PPV1,NPV1,Accuracy1,Sensitivity2,Specificity2,PPV2,NPV2,Accuracy2,Sensitivity,Specificity,PPV,NPV,F1_Score,Accuracy,set
0.8538461538461538,0.9085365853658537,0.8809523809523809,0.8869047619047619,0.8843537414965986,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.7058823529411765,0.9675090252707581,0.5714285714285714,0.9816849816849816,0.9523809523809523,0.9085365853658537,0.8538461538461538,0.8869047619047618,0.8809523809523809,0.8841469193098925,0.8843537414965986,CDR_UMCN_BorutaECOGFAQ_400
0.8461538461538461,0.9146341463414634,0.8870967741935484,0.8823529411764706,0.8843537414965986,0.8435374149659864,0.8299319727891157,0.8322147651006712,0.8413793103448276,0.8367346938775511,0.7058823529411765,0.9675090252707581,0.5714285714285714,0.9816849816849816,0.9523809523809523,0.9146341463414634,0.8461538461538461,0.8823529411764705,0.8870967741935484,0.8840265796544464,0.8843537414965986,CDR_UMCN_BorutaECOGFAQ_400
0.8461538461538461,0.9085365853658537,0.88,0.8816568047337278,0.8809523809523809,0.8367346938775511,0.8299319727891157,0.831081081081081,0.8356164383561644,0.8333333333333334,0.7058823529411765,0.9675090252707581,0.5714285714285714,0.9816849816849816,0.9523809523809523,0.9085365853658537,0.8461538461538461,0.8816568047337278,0.88,0.880678998326057,0.8809523809523809,CDR_UMCN_BorutaECOGFAQ_400
0.8538461538461538,0.9146341463414634,0.888,0.8875739644970414,0.8877551020408163,0.8503401360544217,0.8367346938775511,0.8389261744966443,0.8482758620689655,0.8435374149659864,0.7058823529411765,0.9711191335740073,0.6,0.9817518248175182,0.95578231292517,0.9146341463414634,0.8538461538461538,0.8875739644970415,0.888,0.8874973412788538,0.8877551020408163,CDR_UMCN_BorutaECOGFAQ_400
0.8461538461538461,0.9024390243902439,0.873015873015873,0.8809523809523809,0.8775510204081632,0.8299319727891157,0.8299319727891157,0.8299319727891157,0.8299319727891157,0.8299319727891157,0.7058823529411765,0.9675090252707581,0.5714285714285714,0.9816849816849816,0.9523809523809523,0.9024390243902439,0.8461538461538461,0.8809523809523809,0.873015873015873,0.8773320322104745,0.8775510204081632,CDR_UMCN_BorutaECOGFAQ_400
0.8461538461538461,0.9146341463414634,0.8870967741935484,0.8823529411764706,0.8843537414965986,0.8571428571428571,0.8299319727891157,0.8344370860927153,0.8531468531468531,0.8435374149659864,0.7058823529411765,0.9747292418772563,0.631578947368421,0.9818181818181818,0.9591836734693877,0.9146341463414634,0.8461538461538461,0.8823529411764705,0.8870967741935484,0.8840265796544464,0.8843537414965986,CDR_UMCN_BorutaECOGFAQ_400
0.8461538461538461,0.9085365853658537,0.88,0.8816568047337278,0.8809523809523809,0.8367346938775511,0.8299319727891157,0.831081081081081,0.8356164383561644,0.8333333333333334,0.7058823529411765,0.9675090252707581,0.5714285714285714,0.9816849816849816,0.9523809523809523,0.9085365853658537,0.8461538461538461,0.8816568047337278,0.88,0.880678998326057,0.8809523809523809,CDR_UMCN_BorutaECOGFAQ_400
0.8538461538461538,0.9085365853658537,0.8809523809523809,0.8869047619047619,0.8843537414965986,0.8299319727891157,0.8367346938775511,0.8356164383561644,0.831081081081081,0.8333333333333334,0.7058823529411765,0.9638989169675091,0.5454545454545454,0.9816176470588235,0.9489795918367347,0.9085365853658537,0.8538461538461538,0.8869047619047618,0.8809523809523809,0.8841469193098925,0.8843537414965986,CDR_UMCN_BorutaECOGFAQ_400
0.8538461538461538,0.9207317073170732,0.8951612903225806,0.888235294117647,0.891156462585034,0.8503401360544217,0.8367346938775511,0.8389261744966443,0.8482758620689655,0.8435374149659864,0.7058823529411765,0.9675090252707581,0.5714285714285714,0.9816849816849816,0.9523809523809523,0.9207317073170732,0.8538461538461538,0.888235294117647,0.8951612903225806,0.8908485455571262,0.891156462585034,CDR_UMCN_BorutaECOGFAQ_400
0.8538461538461538,0.9146341463414634,0.888,0.8875739644970414,0.8877551020408163,0.8435374149659864,0.8367346938775511,0.8378378378378378,0.8424657534246576,0.8401360544217688,0.7058823529411765,0.9675090252707581,0.5714285714285714,0.9816849816849816,0.9523809523809523,0.9146341463414634,0.8538461538461538,0.8875739644970415,0.888,0.8874973412788538,0.8877551020408163,CDR_UMCN_BorutaECOGFAQ_400
0.8538461538461538,0.9085365853658537,0.8809523809523809,0.8869047619047619,0.8843537414965986,0.8299319727891157,0.8367346938775511,0.8356164383561644,0.831081081081081,0.8333333333333334,0.7058823529411765,0.9638989169675091,0.5454545454545454,0.9816176470588235,0.9489795918367347,0.9085365853658537,0.8538461538461538,0.8869047619047618,0.8809523809523809,0.8841469193098925,0.8843537414965986,CDR_UMCN_BorutaECOGFAQ_400
0.8538461538461538,0.9085365853658537,0.8809523809523809,0.8869047619047619,0.8843537414965986,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.8367346938775511,0.7058823529411765,0.9675090252707581,0.5714285714285714,0.9816849816849816,0.9523809523809523,0.9085365853658537,0.8538461538461538,0.8869047619047618,0.8809523809523809,0.8841469193098925,0.8843537414965986,CDR_UMCN_BorutaECOGFAQ_400
